adh_id;nom;prenom;ville;cp;adresse;date_naissance;courriel;tel;classement
1;Bennett;Albert;Naples;15917;80105 Mcguire Way;1996-06-18;abennett0@china.com.cn;1-(239)586-7448;C3
2;Hernandez;Martha;Sodankylä;24489;8496 Karstens Terrace;2008-02-05;mhernandez1@myspace.com;358-(436)336-2403;B4
3;Alvarez;Cheryl;Sainte-Martine;34612;3 Summer Ridge Junction;2002-06-25;calvarez2@jalbum.net;1-(770)992-1216;D2
4;Stone;Jose;Los Aquijes;27489;0 Morningstar Plaza;2007-11-19;jstone3@boston.com;51-(718)438-1608;D4
5;Peters;Chris;Bořitov;56164;0 Elka Park;1989-04-02;cpeters4@pbs.org;420-(488)644-3579;C2
6;Wood;Andrew;Sakaidechō;98297;52877 Memorial Court;1986-10-25;awood5@mysql.com;81-(279)761-7881;D4
7;Lane;Earl;Salto;85574;37 Sycamore Court;2002-02-06;elane6@dot.gov;54-(211)695-1650;A4
8;Holmes;Roy;Bipolo;33819;99 Mifflin Trail;1987-04-26;rholmes7@nba.com;62-(100)926-2607;A2
9;Sullivan;Emily;Jiji;86042;95 Anzinger Road;1991-12-15;esullivan8@cbsnews.com;86-(521)239-5655;C2
10;Howell;Lawrence;Weton;46798;32 Miller Circle;1988-08-15;lhowell9@seesaa.net;62-(105)759-7728;B1
11;Myers;Kathryn;Rio Branco do Sul;39278;431 Leroy Road;1981-09-08;kmyersa@archive.org;55-(271)290-3406;D2
12;Banks;Patrick;Lizhai;56864;86 Nova Pass;1995-07-31;pbanksb@accuweather.com;86-(285)998-8398;C1
13;Frazier;Kelly;Yujiawu;42499;8190 Gale Junction;2000-08-03;kfrazierc@discuz.net;86-(643)299-4072;B4
14;West;Carlos;Hongshunli;60298;6954 Fremont Point;1983-01-25;cwestd@ovh.net;86-(733)697-8647;C4
15;Hawkins;Henry;Padina;99203;1360 Ridgeway Pass;1984-03-08;hhawkinse@w3.org;381-(402)395-9989;A3
16;Ford;Rebecca;Werota;55529;84483 Corry Avenue;1997-05-21;rfordf@columbia.edu;251-(988)806-8913;NC
17;Fuller;Norma;Teberda;35536;0880 Sullivan Parkway;1987-01-05;nfullerg@google.nl;7-(449)616-0364;A4
18;Wagner;Russell;Zhujiang;25401;898 Katie Avenue;1981-12-15;rwagnerh@ca.gov;86-(392)495-1714;D2
19;Hart;Donna;Novoaleksandrovsk;70963;225 Burning Wood Crossing;2004-01-29;dharti@google.pl;7-(176)183-5031;B3
20;Vasquez;Frances;La Soledad;74836;493 Spaight Center;2006-01-31;fvasquezj@buzzfeed.com;52-(351)212-8452;C1
